variant,label,signal_date,signal_close,effective_from,exit_date,exit_price,exit_origin,status,net_return,trade_drawdown,trade_days,baseline_next_buy,days_to_baseline_buy,rsi,momentum_7d,volume_rel_20,distance_sma200,sma50_slope_5d,confirmation_reference,confirmation_margin
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.7,0.0018691588785046953
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,136.52,0.018751831233518867
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",2023-01-06,1268.84,2023-01-07,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,2023-02-15,40.0,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298,1256.34,0.00994953595364323
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",2024-11-06,2724.27,2024-11-07,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,2024-12-09,33.0,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335,2510.27,0.08524979384687703
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",2026-01-13,3323.38,2026-01-14,2026-01-20,2936.5,sma50_exit,closed,-0.11923682593022777,-0.12469223386053507,7,,,64.75244995747667,0.008432480982160984,0.677278663037175,-0.08629739862487107,0.010497647033403723,3118.65,0.06564699469321655
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",2026-08-17,1911.94,2026-08-18,,,,open,0.26474931221691045,-0.037284362826933815,5,,,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.04797028438771889,0.016880965162540562,1884.61,0.014501674086415894
rsi40_mom7_high5,"RSI >=40, momentum7 e massimo5",2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.7,0.0018691588785046953
rsi40_mom7_high5,"RSI >=40, momentum7 e massimo5",2018-05-03,775.51,2018-05-04,2018-05-11,678.05,trail8_exit,closed,-0.12846774921277626,-0.16496305418719215,8,2019-04-23,355.0,71.61990046759124,0.17323751891074135,0.46839802995781965,0.18793984705567435,0.003179446066632119,687.51,0.12799813820889883
rsi40_mom7_high5,"RSI >=40, momentum7 e massimo5",2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,136.52,0.018751831233518867
rsi40_mom7_high5,"RSI >=40, momentum7 e massimo5",2020-01-15,166.29,2020-01-16,2020-02-19,258.66,trail8_exit,closed,0.5505018351650732,-0.09700632270234388,35,2020-05-28,134.0,70.7352442673671,0.18271692745376944,1.050578830597526,-0.09712049361105102,0.004172469732023787,165.76,0.0031973938223939236
