test,variant,value,secondary,paths
pbo_unique_pre_event,all,0.8253968253968254,0.36363636363636365,10
deflated_sharpe,current_rsi40_65_mom7_high5,0.9999999988678154,1.832460695201955,14
incremental_psr_vs_baseline,current_rsi40_65_mom7_high5,0.9973097934261355,0.7989193908728828,2
deflated_sharpe,rsi40_mom7_high5,0.9999999985981787,1.8343536513265866,14
incremental_psr_vs_baseline,rsi40_mom7_high5,0.9945996822000789,0.7650011905838069,2
deflated_sharpe,rsi40_65_mean7,0.9999999916866279,1.7551279366512755,14
incremental_psr_vs_baseline,rsi40_65_mean7,0.9636724422827864,0.5560470004198198,2
deflated_sharpe,rsi40_mean7,0.9999999919713274,1.760232417032115,14
incremental_psr_vs_baseline,rsi40_mean7,0.9689717595662122,0.5781081421553455,2
deflated_sharpe,rsi40_65_high7,0.9999999988678154,1.832460695201955,14
incremental_psr_vs_baseline,rsi40_65_high7,0.9973097934261355,0.7989193908728828,2
deflated_sharpe,rsi40_high7,0.9999999985981787,1.8343536513265866,14
incremental_psr_vs_baseline,rsi40_high7,0.9945996822000789,0.7650011905838069,2
bootstrap_30d_vs_baseline,current_rsi40_65_mom7_high5,0.9835,0.18629318345529622,2
bootstrap_30d_vs_baseline,rsi40_mom7_high5,0.9645,0.1219231178446006,2
bootstrap_30d_vs_baseline,rsi40_65_mean7,0.854,-0.3115212759210131,2
bootstrap_30d_vs_baseline,rsi40_mean7,0.8845,-0.25768588761395694,2
bootstrap_30d_vs_baseline,rsi40_65_high7,0.9835,0.18629318345529622,2
bootstrap_30d_vs_baseline,rsi40_high7,0.9645,0.1219231178446006,2
bootstrap_90d_vs_baseline,current_rsi40_65_mom7_high5,0.9735,0.14386768206548062,2
bootstrap_90d_vs_baseline,rsi40_mom7_high5,0.96,0.04484368429829788,2
bootstrap_90d_vs_baseline,rsi40_65_mean7,0.8355,-0.3594438787849557,2
bootstrap_90d_vs_baseline,rsi40_mean7,0.866,-0.3198769260745059,2
bootstrap_90d_vs_baseline,rsi40_65_high7,0.9735,0.14386768206548062,2
bootstrap_90d_vs_baseline,rsi40_high7,0.96,0.04484368429829788,2
incremental_psr_vs_current,rsi40_mom7_high5,0.7676653582358162,0.22983272373740277,2
incremental_psr_vs_current,rsi40_65_mean7,0.333173956015719,-0.13808299087338619,2
incremental_psr_vs_current,rsi40_mean7,0.48310645990296136,-0.013610000572954927,2
incremental_psr_vs_current,rsi40_65_high7,,,2
incremental_psr_vs_current,rsi40_high7,0.7676653582358162,0.22983272373740277,2
bootstrap_30d_vs_current,rsi40_mom7_high5,0.631,-0.392509714754138,2
bootstrap_30d_vs_current,rsi40_65_mean7,0.336,-0.6465212817094568,2
bootstrap_30d_vs_current,rsi40_mean7,0.41,-0.6324565315526088,2
bootstrap_30d_vs_current,rsi40_high7,0.631,-0.392509714754138,2
bootstrap_90d_vs_current,rsi40_mom7_high5,0.6375,-0.4190151730534008,2
bootstrap_90d_vs_current,rsi40_65_mean7,0.336,-0.6809176008340941,2
bootstrap_90d_vs_current,rsi40_mean7,0.4095,-0.6661850547282998,2
bootstrap_90d_vs_current,rsi40_high7,0.6375,-0.4190151730534008,2
