base_variant,guardrail,variant,entry_date,entry_price,entry_origin,exit_date,exit_price,exit_origin,status,net_return,max_drawdown,days,rsi,momentum_7d,volume_rel_20,sma200_slope_20d,sma50_vs_sma200,return_90d,distance_sma200
current_rsi40_65_mom7_high5,none,current_rsi40_65_mom7_high5__none,2017-02-01,10.72,breakout_entry,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.010416427670070005,-0.13515568848392112,-0.013799448022078997,-0.005819480188263615
current_rsi40_65_mom7_high5,none,current_rsi40_65_mom7_high5__none,2019-03-27,139.08,breakout_entry,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.08091708652037044,-0.13585013711072647,0.21329494896623946,-0.09182712980348706
current_rsi40_65_mom7_high5,none,current_rsi40_65_mom7_high5__none,2023-01-06,1268.84,breakout_entry,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.020006498222936098,-0.11875519646287613,-0.03562335165043973,-0.08657795325115425
current_rsi40_65_mom7_high5,none,current_rsi40_65_mom7_high5__none,2024-11-06,2724.27,breakout_entry,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.023899802587221464,-0.14269279300343107,0.015158798475176871,-0.07900863009147197
current_rsi40_65_mom7_high5,none,current_rsi40_65_mom7_high5__none,2026-01-13,3323.38,breakout_entry,2026-01-20,2936.5,sma50_exit,closed,-0.11923682593022777,-0.12469223386053507,7,64.75244995747667,0.008432480982160984,0.677278663037175,0.01568634475893438,-0.16167004143069896,-0.16655674063894188,-0.08629739862487107
current_rsi40_65_mom7_high5,none,current_rsi40_65_mom7_high5__none,2026-08-17,1911.94,breakout_entry,,,,open,0.26474931221691045,-0.037284362826933815,5,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.05631391775780392,-0.08224851279901446,-0.09389306465218994,-0.04797028438771889
current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,current_rsi40_65_mom7_high5__slope_gap__sp0p0__gm15p0,2017-02-01,10.72,breakout_entry,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.010416427670070005,-0.13515568848392112,-0.013799448022078997,-0.005819480188263615
current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,current_rsi40_65_mom7_high5__slope_gap__sp0p0__gm15p0,2019-03-27,139.08,breakout_entry,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.08091708652037044,-0.13585013711072647,0.21329494896623946,-0.09182712980348706
current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,current_rsi40_65_mom7_high5__slope_gap__sp0p0__gm15p0,2023-01-06,1268.84,breakout_entry,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.020006498222936098,-0.11875519646287613,-0.03562335165043973,-0.08657795325115425
current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,current_rsi40_65_mom7_high5__slope_gap__sp0p0__gm15p0,2024-11-06,2724.27,breakout_entry,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.023899802587221464,-0.14269279300343107,0.015158798475176871,-0.07900863009147197
