test,scenario,value,base_variant,guardrail,annualized_return,max_drawdown,sharpe_ratio
cost,maker_0_07pct,0.0007,current_rsi40_65_mom7_high5,none,1.2713719728840949,-0.36141470589576874,1.8807365594574383
cost,taker_0_16pct,0.0016,current_rsi40_65_mom7_high5,none,1.2574326170813626,-0.36563880251736136,1.8686937837057773
cost,stress_0_60pct,0.006,current_rsi40_65_mom7_high5,none,1.1903323950473386,-0.39054414423097705,1.8091812753322143
delay,extra_delay_0,0.0,current_rsi40_65_mom7_high5,none,1.2574326170813626,-0.36563880251736136,1.8684277500211546
delay,extra_delay_1,1.0,current_rsi40_65_mom7_high5,none,1.0821702433958493,-0.40146033658504776,1.7255222579491771
delay,extra_delay_2,2.0,current_rsi40_65_mom7_high5,none,1.0727413301260311,-0.3983536984064532,1.7157551635011652
cost,maker_0_07pct,0.0007,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1.3008397671733771,-0.36043450122849785,1.9088229061053414
cost,taker_0_16pct,0.0016,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1.2871420250159975,-0.36563880251736136,1.8971341989760526
cost,stress_0_60pct,0.006,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1.2211690749624355,-0.39054414423097705,1.8393606060275207
delay,extra_delay_0,0.0,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1.2871420250159975,-0.36563880251736136,1.8968640378896795
delay,extra_delay_1,1.0,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1.1084605104392415,-0.38605795811693155,1.7531198654470659
delay,extra_delay_2,2.0,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1.098729317275406,-0.3983536984064532,1.7431238967971718
cost,maker_0_07pct,0.0007,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.3008397671733771,-0.36043450122849785,1.9088229061053414
cost,taker_0_16pct,0.0016,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.2871420250159975,-0.36563880251736136,1.8971341989760526
cost,stress_0_60pct,0.006,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.2211690749624355,-0.39054414423097705,1.8393606060275207
delay,extra_delay_0,0.0,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.2871420250159975,-0.36563880251736136,1.8968640378896795
delay,extra_delay_1,1.0,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.1084605104392415,-0.38605795811693155,1.7531198654470659
delay,extra_delay_2,2.0,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.098729317275406,-0.3983536984064532,1.7431238967971718
cost,maker_0_07pct,0.0007,rsi40_mom7_high5,none,1.321333489693223,-0.36043450122849785,1.8834953199431819
cost,taker_0_16pct,0.0016,rsi40_mom7_high5,none,1.3049312539265276,-0.36563880251736114,1.8699143883468536
cost,stress_0_60pct,0.006,rsi40_mom7_high5,none,1.2261915811297448,-0.39054414423097705,1.802849407451168
delay,extra_delay_0,0.0,rsi40_mom7_high5,none,1.3049312539265276,-0.36563880251736114,1.8696481775949274
delay,extra_delay_1,1.0,rsi40_mom7_high5,none,1.149051830154888,-0.39975561552061845,1.752011229628533
delay,extra_delay_2,2.0,rsi40_mom7_high5,none,1.1668948472613705,-0.3983536984064532,1.7677703588960731
cost,maker_0_07pct,0.0007,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1.382489521912535,-0.3604345012284975,1.9412499783972386
cost,taker_0_16pct,0.0016,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1.3665403665870315,-0.36563880251736103,1.9283596475572538
cost,stress_0_60pct,0.006,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1.2898916982283715,-0.39054414423097705,1.8646730904216073
delay,extra_delay_0,0.0,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1.3665403665870315,-0.36563880251736103,1.9280849507924775
delay,extra_delay_1,1.0,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1.1940415777435374,-0.3997556155206189,1.7990811766042556
delay,extra_delay_2,2.0,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1.2040556004078034,-0.3983536984064533,1.8082203942409756
cost,maker_0_07pct,0.0007,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.373683849572585,-0.36043450122849785,1.9351081155783043
cost,taker_0_16pct,0.0016,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.3577886067505336,-0.36563880251736103,1.9221918343037696
cost,stress_0_60pct,0.006,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.2813994481413844,-0.3905441442309774,1.8583822881564536
delay,extra_delay_0,0.0,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.3577886067505336,-0.36563880251736103,1.9219180337931245
delay,extra_delay_1,1.0,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.1911706025514444,-0.3997556155206192,1.7974739500613033
delay,extra_delay_2,2.0,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1.1951411411992878,-0.39835369840645307,1.8012762003473286
