period,base_variant,guardrail,buy_signals,total_return,annualized_return,max_drawdown,sharpe_ratio
2016-2019,current_rsi40_65_mom7_high5,none,9,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426
2020-2022,current_rsi40_65_mom7_high5,none,8,21.726949519920286,1.8325682471519245,-0.23392731853378446,2.1922069089552134
2023-2025,current_rsi40_65_mom7_high5,none,15,1.652314784717594,0.3842303125151909,-0.36563880251736125,1.0767349730633828
holdout_2026,current_rsi40_65_mom7_high5,none,2,0.11396580048728566,0.18420222249422036,-0.12609272628635815,0.7470297216898306
2016-2019,current_rsi40_65_mom7_high5,gap__gm14p5,9,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426
2020-2022,current_rsi40_65_mom7_high5,gap__gm14p5,8,21.726949519920286,1.8325682471519245,-0.23392731853378446,2.1922069089552134
2023-2025,current_rsi40_65_mom7_high5,gap__gm14p5,15,1.652314784717594,0.3842303125151909,-0.36563880251736125,1.0767349730633828
holdout_2026,current_rsi40_65_mom7_high5,gap__gm14p5,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
2016-2019,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,9,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426
2020-2022,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,8,21.726949519920286,1.8325682471519245,-0.23392731853378446,2.1922069089552134
2023-2025,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,15,1.652314784717594,0.3842303125151909,-0.36563880251736125,1.0767349730633828
holdout_2026,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
2016-2019,rsi40_mom7_high5,none,10,34.21327378737626,2.198617340563274,-0.3008047360399173,2.206568389247437
2020-2022,rsi40_mom7_high5,none,10,32.37766504884019,2.2197240433506997,-0.27435782657486185,2.351984699850012
2023-2025,rsi40_mom7_high5,none,17,1.5154400530978114,0.3599971260568253,-0.36563880251736114,0.9896038093749998
holdout_2026,rsi40_mom7_high5,none,2,0.12326852527105903,0.19973059767588053,-0.12609272628635815,0.7557627899535918
2016-2019,rsi40_mom7_high5,gap__gm14p5,9,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426
2020-2022,rsi40_mom7_high5,gap__gm14p5,9,27.726230974299593,2.062618366856459,-0.23392731853378435,2.2921346624305623
2023-2025,rsi40_mom7_high5,gap__gm14p5,16,1.8000155992002593,0.4094623638420274,-0.36563880251736114,1.0960409640397895
holdout_2026,rsi40_mom7_high5,gap__gm14p5,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
2016-2019,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,9,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426
2020-2022,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,10,32.37766504884019,2.2197240433506997,-0.27435782657486185,2.351984699850012
2023-2025,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,17,1.5154400530978114,0.3599971260568253,-0.36563880251736114,0.9896038093749998
holdout_2026,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
