blind_rank,guardrail,label,family,complexity,breakout_losses,breakout_entries,max_missed_profitable_episodes,min_delta_annualized,min_delta_drawdown,min_delta_sharpe,mean_delta_annualized,mean_delta_sharpe,changed_systems,admissible_pre2026
1,gap__gm14p5,Blocca se SMA50/SMA200 < -14.5%,gap,1,1,11,0,0.0,0.0,0.0,0.01261916720809464,0.01840062258702524,1,True
2,gap__gm15p0,Blocca se SMA50/SMA200 < -15.0%,gap,1,1,11,0,0.0,0.0,0.0,0.01261916720809464,0.01840062258702524,1,True
3,gap__gm15p5,Blocca se SMA50/SMA200 < -15.5%,gap,1,1,11,0,0.0,0.0,0.0,0.01261916720809464,0.01840062258702524,1,True
4,gap__gm16p0,Blocca se SMA50/SMA200 < -16.0%,gap,1,1,11,0,0.0,0.0,0.0,0.01261916720809464,0.01840062258702524,1,True
5,gap__gm16p5,Blocca se SMA50/SMA200 < -16.5%,gap,1,1,11,0,0.0,0.0,0.0,0.01261916720809464,0.01840062258702524,1,True
6,gap__gm17p0,Blocca se SMA50/SMA200 < -17.0%,gap,1,1,11,0,0.0,0.0,0.0,0.01261916720809464,0.01840062258702524,1,True
7,return90__rm7p5,Blocca se return 90g < -7.5%,return90,1,2,12,0,0.0,0.0,0.0,0.025713486265279473,0.023077075461063745,1,True
8,gap_return90__gm13p0__rm7p5,Blocca se insieme: SMA50/SMA200 < -13.0% e return 90g < -7.5%,gap_return90,2,2,12,0,0.0,0.0,0.0,0.025713486265279473,0.023077075461063745,1,True
9,gap_return90__gm14p0__rm7p5,Blocca se insieme: SMA50/SMA200 < -14.0% e return 90g < -7.5%,gap_return90,2,2,12,0,0.0,0.0,0.0,0.025713486265279473,0.023077075461063745,1,True
10,gap_return90__gm15p0__rm7p5,Blocca se insieme: SMA50/SMA200 < -15.0% e return 90g < -7.5%,gap_return90,2,2,12,0,0.0,0.0,0.0,0.025713486265279473,0.023077075461063745,1,True
11,gap_return90__gm16p0__rm7p5,Blocca se insieme: SMA50/SMA200 < -16.0% e return 90g < -7.5%,gap_return90,2,2,12,0,0.0,0.0,0.0,0.025713486265279473,0.023077075461063745,1,True
12,gap_return90__gm17p0__rm7p5,Blocca se insieme: SMA50/SMA200 < -17.0% e return 90g < -7.5%,gap_return90,2,2,12,0,0.0,0.0,0.0,0.025713486265279473,0.023077075461063745,1,True
13,return90__rm5p0,Blocca se return 90g < -5.0%,return90,1,2,12,0,0.0,0.0,0.0,0.023061434096960376,0.02122139897706965,1,True
14,gap__gm18p0,Blocca se SMA50/SMA200 < -18.0%,gap,1,2,12,0,0.0,-3.3306690738754696e-16,0.0,0.0005833250163524983,0.007855420944546165,1,True
15,return90__rm12p5,Blocca se return 90g < -12.5%,return90,1,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
16,slope__sm1p0,Blocca se slope SMA200 20g > -1.0%,slope,1,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
17,slope__sp0p0,Blocca se slope SMA200 20g > 0.0%,slope,1,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
18,slope__sp0p5,Blocca se slope SMA200 20g > 0.5%,slope,1,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
19,slope__sp1p0,Blocca se slope SMA200 20g > 1.0%,slope,1,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
20,slope__sp1p5,Blocca se slope SMA200 20g > 1.5%,slope,1,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
21,gap_return90__gm13p0__rm12p5,Blocca se insieme: SMA50/SMA200 < -13.0% e return 90g < -12.5%,gap_return90,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
22,gap_return90__gm14p0__rm12p5,Blocca se insieme: SMA50/SMA200 < -14.0% e return 90g < -12.5%,gap_return90,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
23,gap_return90__gm15p0__rm12p5,Blocca se insieme: SMA50/SMA200 < -15.0% e return 90g < -12.5%,gap_return90,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
24,gap_return90__gm16p0__rm12p5,Blocca se insieme: SMA50/SMA200 < -16.0% e return 90g < -12.5%,gap_return90,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
25,gap_return90__gm17p0__rm12p5,Blocca se insieme: SMA50/SMA200 < -17.0% e return 90g < -12.5%,gap_return90,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
26,slope_gap__sm1p0__gm13p0,Blocca se insieme: slope SMA200 20g > -1.0% e SMA50/SMA200 < -13.0%,slope_gap,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
27,slope_gap__sm1p0__gm14p0,Blocca se insieme: slope SMA200 20g > -1.0% e SMA50/SMA200 < -14.0%,slope_gap,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
28,slope_gap__sm1p0__gm15p0,Blocca se insieme: slope SMA200 20g > -1.0% e SMA50/SMA200 < -15.0%,slope_gap,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
29,slope_gap__sm1p0__gm16p0,Blocca se insieme: slope SMA200 20g > -1.0% e SMA50/SMA200 < -16.0%,slope_gap,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
30,slope_gap__sm1p0__gm17p0,Blocca se insieme: slope SMA200 20g > -1.0% e SMA50/SMA200 < -17.0%,slope_gap,2,3,13,0,0.0,0.0,0.0,0.018385876644930965,0.015839377755886952,1,True
